"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Run/Debug","Step Return","F7","Debugging"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Window","Previous Editor","Ctrl+Shift+F6","In Windows"
"Run/Debug","Debug Java Applet","Alt+Shift+D, A","In Windows"
"Source","Toggle Ant Mark Occurrences","Alt+Shift+O","Editing Ant Buildfiles"
"Window","Activate Editor","F12","In Windows"
"Source","Quick Assist - Extract method","Ctrl+2, M","Editing Java Source"
"Edit","Toggle Block Selection","Alt+Shift+A","Editing Text"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Source","Quick Assist - Assign to field","Ctrl+2, F","Editing Java Source"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing Java Source"
"Views","Show View (Synchronize)","Alt+Shift+Q, Y","In Windows"
"Source","Add Javadoc Comment","Alt+Shift+J","In Windows"
"Navigate","Next","Ctrl+.","In Windows"
"Run/Debug","Debug Eclipse Application","Alt+Shift+D, E","In Windows"
"Window","Next Editor","Ctrl+F6","In Windows"
"Views","Show View (Cheat Sheets)","Alt+Shift+Q, H","In Windows"
"Refactor - Java","Change Method Signature","Alt+Shift+C","In Windows"
"Search","References in Workspace","Ctrl+Shift+G","In Windows"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing Java Source"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Source","Organize Imports","Ctrl+Shift+O","In Windows"
"Run/Debug","Run JUnit Test","Alt+Shift+X, T","In Windows"
"Edit","Find Next","Ctrl+K","Editing Text"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Spy","Plug-in Selection Spy","Alt+Shift+F1","In Dialogs and Windows"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing Java Source"
"File","Close All","Ctrl+Shift+F4","In Windows"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Window","Quick Access","Ctrl+3","In Windows"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing Java Source"
"File","Refresh","F5","In Windows"
"Text Editing","Insert Line Above Current Line","Ctrl+Shift+Enter","Editing Text"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Edit","Find Previous","Ctrl+Shift+K","Editing Text"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"File","New menu","Alt+Shift+N","In Windows"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing Java Source"
"Views","Show View (Search)","Alt+Shift+Q, S","In Windows"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Views","Show View (Variables)","Alt+Shift+Q, V","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Source","Rename In File","Alt+Shift+R","Editing Ant Buildfiles"
"Window","Switch to Editor","Ctrl+Shift+E","In Windows"
"Run/Debug","Step Over","F6","Debugging"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"File","Close All","Ctrl+Shift+W","In Windows"
"Views","Show View (Error Log)","Alt+Shift+Q, L","In Windows"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","In Windows"
"Edit","Select Previous Element","Alt+Shift+Left","Editing Java Source"
"Run/Debug","Inspect","Ctrl+Shift+I","In Dialogs and Windows"
"Views","Show View","Alt+Shift+Q, Q","In Windows"
"Views","Show View (Package Explorer)","Alt+Shift+Q, P","In Windows"
"Text Editing","Collapse All","Ctrl+Shift+Numpad_Divide","Editing Text"
"Run/Debug","Step Into","F5","Debugging"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","In Windows"
"File","Close","Ctrl+F4","In Windows"
"Text Editing","To Upper Case","Ctrl+Shift+X","Editing Text"
"Run/Debug","Run Eclipse Application","Alt+Shift+X, E","In Windows"
"Run/Debug","Debug JUnit Test","Alt+Shift+D, T","In Windows"
"Edit","Delete","Delete","In Windows"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Navigate","Open Type","Ctrl+Shift+T","In Windows"
"Manifest Editor Source","Format Source","Ctrl+Shift+F","PDE editor"
"Navigate","Backward History","Alt+Left","In Windows"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Run/Debug","Debug JUnit Plug-in Test","Alt+Shift+D, P","In Windows"
"Refactor - Java","Extract Method","Alt+Shift+M","In Windows"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Text Editing","Select Previous Word","Ctrl+Shift+Left","Editing Text"
"Views","Show View (Problems)","Alt+Shift+Q, X","In Windows"
"Navigate","Next Page","Alt+F7","In Windows"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing Java Source"
"File","Properties","Alt+Enter","In Windows"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows"
"Run/Debug","Display","Ctrl+Shift+D","In Dialogs and Windows"
"Edit","Toggle Insert Mode","Ctrl+Shift+Insert","Editing Text"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Navigate","Open Resource","Ctrl+Shift+R","In Windows"
"Refactor - Java","Inline","Alt+Shift+I","In Windows"
"Views","Show View (Type Hierarchy)","Alt+Shift+Q, T","In Windows"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing Java Source"
"Edit","Context Information","Ctrl+Shift+Space","In Dialogs and Windows"
"File","Save","Ctrl+S","In Windows"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Spy","Plug-in Menu Spy","Alt+Shift+F2","In Dialogs and Windows"
"Run/Debug","Run JUnit Plug-in Test","Alt+Shift+X, P","In Windows"
"Refactor - Java","Extract Local Variable","Alt+Shift+L","In Windows"
"Run/Debug","Execute","Ctrl+U","In Windows"
"Window","Show Key Assist","Ctrl+Shift+L","In Dialogs and Windows"
"Refactor - Java","Move - Refactoring ","Alt+Shift+V","In Windows"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"File","Print","Ctrl+P","In Windows"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Edit","Quick Diff Toggle","Ctrl+Shift+Q","Editing Text"
"Source","Add Block Comment","Ctrl+Shift+/","Editing Java Source"
"Navigate","Collapse All","Ctrl+Shift+Numpad_Divide","In Windows"
"Navigate","Expand All","Ctrl+Shift+Numpad_Multiply","In Windows"
"Window","Previous View","Ctrl+Shift+F7","In Windows"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Run/Debug","Next Page of Memory","Ctrl+Shift+.","In Table Memory Rendering"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Run/Debug","Run Java Application","Alt+Shift+X, J","In Windows"
"Views","Show View (Outline)","Alt+Shift+Q, O","In Windows"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Run/Debug","Resume","F8","Debugging"
"Edit","Incremental Find Reverse","Ctrl+Shift+J","Editing Text"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Run/Debug","EOF","Ctrl+Z","In I/O Console"
"Run/Debug","All Instances","Ctrl+Shift+N","In Windows"
"Navigate","Previous","Ctrl+,","In Windows"
"Run/Debug","Previous Page of Memory","Ctrl+Shift+,","In Table Memory Rendering"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Run/Debug","Run Ant Build","Alt+Shift+X, Q","In Windows"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Java Source"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing Java Source"
"Run/Debug","Run","Ctrl+F11","In Windows"
"Window","Toggle Split Editor (Horizontal)","Ctrl+_","In Windows"
"Views","Show View (Javadoc)","Alt+Shift+Q, J","In Windows"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Run/Debug","Debug Ant Build","Alt+Shift+D, Q","In Windows"
"Navigate","Open Manifest","Ctrl+Alt+Shift+M","In Windows"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Uncategorized","Add Artifact to Target Platform","Ctrl+Alt+Shift+A","In Windows"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Views","Show View (History)","Alt+Shift+Q, Z","In Windows"
"Source","Format","Ctrl+Shift+F","Editing Ant Buildfiles"
"Navigate","Forward History","Alt+Right","In Windows"
"File","Save All","Ctrl+Shift+S","In Windows"
"File","New","Ctrl+N","In Windows"
"Text Editing","Line Start","Home","Editing Text"
"Window","Previous Perspective","Ctrl+Shift+F8","In Windows"
"Project","Build All","Ctrl+B","In Windows"
"Refactor - Java","Show Refactor Quick Menu","Alt+Shift+T","In Windows"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Run/Debug","Force Return","Alt+Shift+F","In Windows"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"File","Rename","F2","In Windows"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editing Java Source"
"Window","Show System Menu","Alt+-","In Windows"
"Text Editing","Reset Structure","Ctrl+Shift+Numpad_Multiply","Editing Text"
"Run/Debug","Debug Java Application","Alt+Shift+D, J","In Windows"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing Java Source"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editor Breadcrumb Navigation"
"Run/Debug","Run Java Applet","Alt+Shift+X, A","In Windows"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"Refactor - Java","Rename - Refactoring ","Alt+Shift+R","In Windows"
"Text Editing","Line End","End","Editing Text"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Edit","Word Completion","Alt+/","Editing Text"
"Source","Add Import","Ctrl+Shift+M","Editing Java Source"
"Navigate","Open Declaration","F3","In Windows"
"Window","Show Contributing Plug-in","Alt+Shift+F3","In Dialogs and Windows"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Properties Files"
"Navigate","Open Plug-in Artifact","Ctrl+Shift+A","In Windows"
"Run/Debug","Toggle Breakpoint","Ctrl+Shift+B","In Windows"
"Window","Next View","Ctrl+F7","In Windows"
"File","Close","Ctrl+W","In Windows"
"Run/Debug","Debug","F11","In Windows"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Source","Show Source Quick Menu","Alt+Shift+S","In Windows"
"Run/Debug","Debug OSGi Framework","Alt+Shift+D, O","In Windows"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Views","Show View (Breakpoints)","Alt+Shift+Q, B","In Windows"
"Source","Format","Ctrl+Shift+F","Editing Java Source"
"Views","Show View (Console)","Alt+Shift+Q, C","In Windows"
"Text Editing","Select Next Word","Ctrl+Shift+Right","Editing Text"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Text Editing","Delete to End of Line","Ctrl+Shift+Delete","Editing Text"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing Java Source"
"Run/Debug","Run OSGi Framework","Alt+Shift+X, O","In Windows"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Source","Surround With Quick Menu","Alt+Shift+Z","In Windows"
"Window","Toggle Split Editor (Vertical)","Ctrl+{","In Windows"
"Edit","Select Next Element","Alt+Shift+Right","Editing Java Source"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Text Editing","To Lower Case","Ctrl+Shift+Y","Editing Text"
"Navigate","Show In...","Alt+Shift+W","In Windows"
"Views","Show View (Declaration)","Alt+Shift+Q, D","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Navigate","Previous Page","Alt+Shift+F7","In Windows"
